code_insee,pop,nom,nom_court,nom_tres_court
42308,777,La Terrasse-sur-Dorlay,La Terrasse-sur-D.,La Terrasse
42310,178,Thélis-la-Combe,Thélis-la-C.,Thélis
42311,1368,La Tour-en-Jarez,La Tour-en-J.,La Tour
42312,579,La Tourette,La Tourette,La Tourette
42313,627,Trelins,Trelins,Trelins
42314,290,La Tuilière,La Tuilière,La Tuilière
42315,382,Unias,Unias,Unias
42316,8759,Unieux,Unieux,Unieux
42317,138,Urbise,Urbise,Urbise
42318,1492,Usson-en-Forez,Usson-en-F.,Usson
42319,687,Valeille,Valeille,Valeille
42320,675,Valfleury,Valfleury,Valfleury
42322,979,La Valla-en-Gier,La Valla-en-G.,La Valla
42321,140,La Valla-sur-Rochefort,La Valla-sur-R.,La Valla
42323,8659,Veauche,Veauche,Veauche
42324,936,Veauchette,Veauchette,Veauchette
42325,331,Vendranges,Vendranges,Vendranges
42326,821,Véranne,Véranne,Véranne
42327,704,Vérin,Vérin,Vérin
42328,736,Verrières-en-Forez,Verrières-en-F.,Verrières
42329,364,La Versanne,La Versanne,La Versanne
42330,8047,Villars,Villars,Villars
42331,1005,Villemontais,Villemontais,Villemontais
42332,4841,Villerest,Villerest,Villerest
42333,581,Villers,Villers,Villers
42334,1375,Violay,Violay,Violay
42335,440,Viricelles,Viricelles,Viricelles
42336,608,Virigneux,Virigneux,Virigneux
42337,251,Vivans,Vivans,Vivans
42338,1480,Vougy,Vougy,Vougy
43001,201,Agnat,Agnat,Agnat
43002,1660,Aiguilhe,Aiguilhe,Aiguilhe
43003,1010,Allègre,Allègre,Allègre
43004,135,Alleyrac,Alleyrac,Alleyrac
43005,179,Alleyras,Alleyras,Alleyras
43006,168,Ally,Ally,Ally
43007,646,Araules,Araules,Araules
43008,136,Arlempdes,Arlempdes,Arlempdes
43009,24,Arlet,Arlet,Arlet
43010,1197,Arsac-en-Velay,Arsac-en-V.,Arsac
43011,195,Aubazat,Aubazat,Aubazat
43012,5721,Aurec-sur-Loire,Aurec-sur-L.,Aurec
43014,79,Autrac,Autrac,Autrac
43015,62,Auvers,Auvers,Auvers
43016,946,Auzon,Auzon,Auzon
43017,274,Azérat,Azérat,Azérat
43018,1364,Bains,Bains,Bains
